Id,SalePrice
1461,127395.84
1462,159630.0
1463,175516.53
1464,186078.5
1465,205351.09
1466,184432.5
1467,162870.36
1468,174805.59
1469,181603.39
1470,121502.5
1471,192149.17
1472,90260.5
1473,102866.5
1474,155570.19
1475,139710.93
1476,350310.36
1477,257695.84
1478,290579.79
1479,239111.58
1480,436305.84
1481,305274.29
1482,215932.8
1483,178387.29
1484,169690.48
1485,169739.59
1486,197150.0
1487,337455.76
1488,251089.43
1489,214392.64
1490,198587.9
1491,193676.4
1492,97620.33
1493,174974.5
1494,288676.74
1495,295449.94
1496,212793.59
1497,187170.37
1498,153296.25
1499,152644.88
1500,156703.39
1501,168473.33
1502,158590.12
1503,294996.99
1504,232545.56
1505,217034.9
1506,185992.5
1507,232368.9
1508,198026.2
1509,167833.5
1510,149604.0
1511,149455.09
1512,169925.34
1513,160154.73
1514,163264.28
1515,166973.2
1516,158968.05
1517,149256.49
1518,126136.19
1519,216277.18
1520,134217.5
1521,144770.87
1522,165686.0
1523,109595.5
1524,123079.75
1525,128118.16
1526,127070.5
1527,113863.0
1528,130912.0
1529,143759.5
1530,170602.0
1531,133653.01
1532,104321.5
1533,138365.75
1534,119165.79
1535,154976.74
1536,117644.16
1537,84961.04
1538,195409.97
1539,232666.29
1540,111756.68
1541,147651.79
1542,147335.02
1543,211730.36
1544,85257.0
1545,109395.75
1546,124295.9
1547,134642.67
1548,136015.54
1549,122385.5
1550,144822.66
1551,118129.75
1552,143201.85
1553,151219.21
1554,108208.24
1555,172005.55
1556,95389.58
1557,122701.0
1558,95653.0
1559,122068.89
1560,144733.88
1561,149318.0
1562,124310.5
1563,121960.0
1564,157393.93
1565,149063.11
1566,217137.42
1567,84829.04
1568,226983.4
1569,141973.34
1570,132943.25
1571,132519.18
1572,139662.5
1573,242490.63
1574,120870.05
1575,209725.78
1576,215329.56
1577,210545.69
1578,146336.69
1579,145129.3
1580,191493.04
1581,137908.37
1582,130300.1
1583,331891.07
1584,248609.56
1585,139547.0
1586,78225.0
1587,111551.5
1588,149610.3
1589,104677.5
1590,131902.0
1591,105429.0
1592,124610.75
1593,117475.0
1594,142681.56
1595,131637.06
1596,223446.99
1597,162683.02
1598,192290.45
1599,227318.91
1600,203746.35
1601,83439.33
1602,114788.5
1603,106284.7
1604,289887.88
1605,246849.76
1606,170223.22
1607,180051.43
1608,218837.47
1609,201697.89
1610,156392.89
1611,150679.12
1612,162693.73
1613,170072.81
1614,118872.83
1615,90897.5
1616,86252.0
1617,93476.0
1618,127866.83
1619,132607.83
1620,152905.01
1621,141851.99
1622,151149.21
1623,294358.76
1624,211703.78
1625,128876.5
1626,176034.9
1627,191030.25
1628,278535.23
1629,174669.52
1630,354683.72
1631,220212.47
1632,255319.23
1633,161713.53
1634,184104.5
1635,181970.04
1636,156584.15
1637,169773.37
1638,209760.24
1639,187748.82
1640,251202.32
1641,185328.5
1642,216232.9
1643,230326.52
1644,228338.96
1645,176503.0
1646,148873.12
1647,161784.03
1648,139504.84
1649,136402.75
1650,123555.5
1651,124483.33
1652,90379.0
1653,96243.5
1654,160907.18
1655,153092.1
1656,152474.74
1657,158918.18
1658,155672.37
1659,142167.39
1660,142767.84
1661,431909.28
1662,365904.72
1663,372110.61
1664,415913.59
1665,314568.66
1666,332667.97
1667,359406.3
1668,321441.49
1669,295058.02
1670,328265.24
1671,256778.75
1672,429986.52
1673,293107.82
1674,254693.58
1675,188728.78
1676,188493.36
1677,216710.22
1678,401368.3
1679,370661.42
1680,340853.39
1681,278390.17
1682,288374.61
1683,185286.8
1684,174956.79
1685,174367.37
1686,170096.29
1687,165302.67
1688,183936.7
1689,190005.1
1690,184967.85
1691,170906.58
1692,270111.15
1693,166601.24
1694,184729.0
1695,166226.29
1696,274272.99
1697,169482.92
1698,351631.55
1699,318675.91
1700,244430.42
1701,263044.83
1702,255086.96
1703,253473.17
1704,307788.26
1705,244274.48
1706,387484.41
1707,218707.82
1708,224372.79
1709,278922.09
1710,235042.26
1711,268291.76
1712,243933.06
1713,240199.13
1714,219199.07
1715,203255.69
1716,177117.36
1717,157343.64
1718,132337.0
1719,209612.58
1720,252882.0
1721,158116.37
1722,122869.65
1723,150181.75
1724,213946.32
1725,237180.56
1726,186869.5
1727,174254.97
1728,186263.98
1729,161144.3
1730,170618.2
1731,120743.49
1732,130732.33
1733,121930.26
1734,125230.33
1735,134680.2
1736,118083.74
1737,355507.96
1738,215502.59
1739,271572.66
1740,198832.33
1741,187648.51
1742,169464.33
1743,166017.37
1744,320676.03
1745,220319.58
1746,264009.48
1747,218114.12
1748,214457.98
1749,159109.05
1750,146869.07
1751,241655.1
1752,122935.0
1753,144564.84
1754,206074.55
1755,168374.34
1756,122938.49
1757,120873.83
1758,149211.35
1759,165167.55
1760,162446.0
1761,154925.5
1762,170029.89
1763,172734.3
1764,115330.99
1765,179253.2
1766,175639.0
1767,206175.3
1768,136948.25
1769,156891.86
1770,136829.0
1771,138517.14
1772,136984.0
1773,141901.89
1774,126950.79
1775,131800.75
1776,121157.75
1777,116463.0
1778,128023.0
1779,116177.25
1780,173528.75
1781,130167.75
1782,100027.33
1783,130709.38
1784,109915.04
1785,119682.5
1786,152871.58
1787,165578.2
1788,65231.08
1789,94787.0
1790,92663.0
1791,190275.4
1792,152225.0
1793,134945.87
1794,138325.6
1795,135426.0
1796,127009.5
1797,115575.19
1798,124397.5
1799,115141.83
1800,128254.0
1801,129442.18
1802,153127.5
1803,155073.22
1804,141340.9
1805,130809.0
1806,108765.63
1807,147649.61
1808,124110.0
1809,128124.12
1810,148202.05
1811,114315.5
1812,113248.59
1813,123091.0
1814,104191.66
1815,72128.5
1816,102803.5
1817,128950.25
1818,151790.2
1819,116651.2
1820,83820.33
1821,130246.68
1822,155396.94
1823,68097.0
1824,143631.69
1825,149566.31
1826,104015.04
1827,114180.25
1828,143184.18
1829,117849.25
1830,152029.5
1831,165073.27
1832,112875.32
1833,145716.5
1834,132466.34
1835,168108.1
1836,141103.74
1837,102067.33
1838,134256.0
1839,93211.5
1840,165991.94
1841,147390.94
1842,95978.29
1843,139027.83
1844,139859.6
1845,142333.67
1846,147870.0
1847,152723.27
1848,59902.5
1849,116899.36
1850,128052.25
1851,163199.04
1852,125035.25
1853,130687.5
1854,165788.44
1855,151841.86
1856,218138.76
1857,151784.64
